Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;Date de création;Date dernière MAJ;geo_shape;geo_point_2d
CP001600;;75018;9;3;Altana investissement;REHABILITATION_IMMEUBLE;démolition et reconstruction;rue du Mont Cenis;n°102;2019-11-19;2021-08-31;RESTREINTE;Maintien d'une file de circulation  report de l'arrêt bus en amont.;2;4;;2020-02-20;2021-10-01;"{""type"": ""Polygon"", ""coordinates"": [[[2.345887894135795, 48.89531560612577], [2.34595684094481, 48.89542900655625], [2.34601511635503, 48.895386494693376], [2.345971175305793, 48.89529345567358], [2.345887894135795, 48.89531560612577]]]}";48.8953554557,2.34595556588
CP002037;;75012;14;2;RATP HTA;ENTRETIEN_RESEAU;Renouvellement câbles pour les lignes 11et 14;rue Ledru Rollin et Quai de la Rapée;du 2 au 12 rue Ledru Rollin + 92 au 96 quai de la rapée;2021-07-19;2021-10-22;RESTREINTE;"Circulation restreinte lors de l'Arrêt ponctuel du camion.
Neutralisation Piste cyclable.";1;2;;2021-06-22;2021-06-22;"{""type"": ""Polygon"", ""coordinates"": [[[2.368398569187673, 48.84534346216684], [2.368313473797042, 48.84537394632811], [2.367798548960228, 48.84576742351859], [2.367770961903034, 48.845812489384556], [2.367740131674894, 48.84582779272224], [2.367784733773917, 48.84586610186919], [2.36860823178072, 48.846339223238886], [2.368628247324884, 48.84632386171218], [2.368688149768248, 48.846289673956925], [2.3678090907468032, 48.845790084600175], [2.368331284008402, 48.84539188724172], [2.368396449334297, 48.84536962591267], [2.368441873322827, 48.84534012122425], [2.368398569187673, 48.84534346216684]]]}";48.8459693586,2.36819177892
CP001968;;75008;9;2;CPCU;INSPECTION_ENTRETIEN_RESEAU;;rue Daru;du N°14 au N°16;2021-05-17;2021-12-17;RESTREINTE;Maintien de 4m de circulation.;2;2;;2021-04-21;2021-11-04;"{""type"": ""Polygon"", ""coordinates"": [[[2.302264205519789, 48.87813783210449], [2.302271063790753, 48.87812898841128], [2.302245758193519, 48.878114563920015], [2.302229809041008, 48.87812018175814], [2.302208326641242, 48.878108001808414], [2.302181584843493, 48.87812973762953], [2.302570375928662, 48.87833505052127], [2.302624796006168, 48.878329976016985], [2.302264205519789, 48.87813783210449]]]}";48.8782220252,2.302390932
CP001421;;75016;13;3;Maison de la Radio;REHABILITATION_IMMEUBLE;installation de la base vie;Rue  Boullainvilliers;du n°2 au n°10;2019-07-01;2024-12-31;RESTREINTE;Modification des files de circulation .;2;2;;2019-06-27;2019-06-27;"{""type"": ""Polygon"", ""coordinates"": [[[2.278087968773189, 48.85165200691029], [2.278005620021254, 48.8516098677418], [2.276937983388898, 48.852153100104196], [2.277031015931084, 48.85220482339153], [2.277203537312671, 48.85224512825189], [2.277277016258524, 48.852146820346], [2.277364653873166, 48.852067633802186], [2.277497476879536, 48.85198039195424], [2.277631837054627, 48.85191219603773], [2.2778039222536828, 48.8518537456313], [2.277986543962677, 48.85181558521849], [2.277974533897985, 48.851771490754125], [2.278032370887963, 48.8517611310494], [2.2781821795556922, 48.85174894738235], [2.278087968773189, 48.85165200691029]]]}";48.8519209581,2.27755078721
CP000949;;75014;12;3;Unibail;REHABILITATION_IMMEUBLE;;13-35 rue du Commandant René Mouchotte;;2018-11-05;2021-12-31;RESTREINTE;Maintien d'une file de 3,5m par sens.;2;2;;2018-11-08;2021-06-21;"{""type"": ""Polygon"", ""coordinates"": [[[2.320632025024262, 48.83881550056989], [2.319737397665429, 48.83804667662745], [2.319493893063302, 48.83815973810068], [2.320315704908512, 48.838852228982105], [2.3205491256086512, 48.83885468557592], [2.320632025024262, 48.83881550056989]]]}";48.8384715479,2.3200515889
CP002176;366037;75015;13;1;DVD- Mission Vélo;REAMENAGEMENT_VOIRIE;Aménagement Ilot central entre échangeurs;Pont du Garigliano;Pont du Garigliano, angle bd du Général Maral Martial Valin;2021-11-02;2021-11-19;RESTREINTE;Fermeture Ilot central voie entrante Paris sens Sud- Nord;2;2;;2021-10-27;2021-11-08;"{""type"": ""Polygon"", ""coordinates"": [[[2.269684398843333, 48.83857279052176], [2.269681983386645, 48.83857277577437], [2.269683169631657, 48.83857436501564], [2.269680783049744, 48.83857355359924], [2.269639536906984, 48.838601071734686], [2.2697239686191812, 48.8387499074628], [2.26980628882734, 48.838705994429674], [2.269706159601903, 48.838563404404546], [2.269684398843333, 48.83857279052176]]]}";48.8386567464,2.26972016107
CP001502;;75008;9;3;Sas Monceau-Murillo;REHABILITATION_IMMEUBLE;;rue Murillo;n°14;2019-10-07;2021-12-31;RESTREINTE;Maintien d'une file de circulation de 3.50ml au droit de l'emprise.;2;2;;2019-09-16;2021-07-22;"{""type"": ""Polygon"", ""coordinates"": [[[2.307743403994211, 48.87788820278149], [2.307752282723347, 48.87781734490519], [2.307554703582579, 48.8778085875269], [2.307560969599917, 48.87788000964072], [2.307743403994211, 48.87788820278149]]]}";48.8778480649,2.3076528734
CP002107;385599;75006;12;2;EDP;ENTRETIEN_RESEAU;Base vie;rue Babylone;en vis à vis du n°6 au n°8;2021-08-23;2022-01-30;RESTREINTE;maintien d'une file de circulation;2;2;;2021-07-19;2021-07-19;"{""type"": ""Polygon"", ""coordinates"": [[[2.325479328125466, 48.851727482549116], [2.32590291348367, 48.85173462914261], [2.32593218884779, 48.851701480068826], [2.325934314888607, 48.85167650699145], [2.325474689543419, 48.85166796748592], [2.325479328125466, 48.851727482549116]]]}";48.8517012734,2.32570025674
CP002111;;75010;11;2;CPCU;INSPECTION_ENTRETIEN_RESEAU;;Rue du Faubourg St Martin;à l'angle avec le bd de la Villette.;2021-10-11;2021-12-17;RESTREINTE;Maintien d'une file de 3,5m par sens.;2;2;;2021-07-26;2021-10-13;"{""type"": ""Polygon"", ""coordinates"": [[[2.368397577167402, 48.883803134515496], [2.368477307581053, 48.883773811634065], [2.368551944688865, 48.88371828780706], [2.368392554478357, 48.88362226762607], [2.3681889054286502, 48.88345701004674], [2.368050989033977, 48.883524096880166], [2.368397577167402, 48.883803134515496]]]}";48.8836333664,2.36830090579
CP002004;;75006;12;2;RATP;TRAVAUX_OUVRAGE;réfection de l'étanchéité;rue de Rennes /rue du Vieux Colombier;au niveau du crf;2021-06-14;2021-12-22;RESTREINTE;Modification des files de circulation selon le phasage. Mise en impasse de la rue du Vieux Colombier entre la rue de Rennes et la rue Madame à compter du 13/08/21.;1;2;;2021-05-28;2021-08-06;"{""type"": ""Polygon"", ""coordinates"": [[[2.3313529996133, 48.851476017512596], [2.331222373826359, 48.85151286529927], [2.331165573786384, 48.851501811276016], [2.331101156593025, 48.85145045221354], [2.331045045757289, 48.851385719343256], [2.330889741020854, 48.85144390184452], [2.330970012432275, 48.85152755925603], [2.330969598918648, 48.851559766525284], [2.330973321998998, 48.85158662866034], [2.331037256849903, 48.85167556292923], [2.33110629319741, 48.851684000836535], [2.3311465153529918, 48.85171911984614], [2.331242711188978, 48.85182970737753], [2.331389881301247, 48.851771478977675], [2.331293754146048, 48.85165552368096], [2.331282034674503, 48.85161788034121], [2.331319051624054, 48.85158587764339], [2.331404837997143, 48.85155683114632], [2.3313529996133, 48.851476017512596]]]}";48.8515960355,2.33116169837
CP002018;;75002;11;2;Climespace;RACCORDEMENT_RESEAU;Création nouveau branchement;Rue de Richelieu;Des N° 85 au N° 104;2021-06-21;2021-10-15;RESTREINTE;Travaux en trois phases, neutralisation d'une file, maintien du cheminement piétons.;2;2;;2021-06-08;2021-06-08;"{""type"": ""Polygon"", ""coordinates"": [[[2.339041367619992, 48.86997528146712], [2.339366094947714, 48.870677621445175], [2.339594392511961, 48.8709633949265], [2.339607005689832, 48.870931255529065], [2.339495912206576, 48.87070786323564], [2.3394189519343422, 48.870680597698964], [2.339106156074749, 48.869999796429234], [2.339041367619992, 48.86997528146712]]]}";48.8704896527,2.33932277028
CP000116;;75013;14;2;SNCF;TRAVAUX_OUVRAGE;Base vie;F41 - 43 bd Vincent Auriol sous le viaduc RATP;;2016-09-16;2024-06-28;RESTREINTE;Maintien de 4,93m de circulation piste cyclable incluse. La base vie sera en place du 23/09/16 au 31/12/2020 condamnant la voie de retournement.;2;2;;2016-12-22;2021-03-01;"{""type"": ""Polygon"", ""coordinates"": [[[2.369993722302624, 48.83566249101574], [2.370451457082264, 48.83585917228909], [2.3707002434498192, 48.83596008805611], [2.370753183197598, 48.83590444668051], [2.370055730223922, 48.83560213824699], [2.369993722302624, 48.83566249101574]]]}";48.83578081,2.37036989601
CP001402;;75008;9;2;SAEMES;TRAVAUX_PARC_STATIONNEMENT;Rénovation du parc  Haussmann/Berri;boulevard Haussmann;n°157;2019-07-15;2021-09-30;RESTREINTE;maintien d'une file de circulation au droit de l'emprise.;2;2;;2019-06-20;2021-02-24;"{""type"": ""Polygon"", ""coordinates"": [[[2.310102624795797, 48.874977290030614], [2.310099054372, 48.87493969231696], [2.309484875812593, 48.874920046548155], [2.309479526725192, 48.87501664261966], [2.310105947731567, 48.8750336753332], [2.310102624795797, 48.874977290030614]]]}";48.8749776273,2.30979093959
CP001546;119570;75014;12;3;Promobat;CONSTRUCTION_IMMEUBLE;;Avenue du Général Leclerc;n°42;2019-10-28;2021-11-30;RESTREINTE;Neutralisation du couloir de bus, maintien d'une file de circulation au droit de l'emprise.;2;2;;2019-10-28;2021-10-05;"{""type"": ""Polygon"", ""coordinates"": [[[2.329464096971592, 48.831138916191286], [2.32950614817427, 48.831120115795386], [2.32950482330336, 48.83111106516368], [2.329598310936034, 48.831072564498655], [2.329537970904364, 48.83099988601332], [2.329392408573478, 48.83105189734956], [2.329464096971592, 48.831138916191286]]]}";48.8310660564,2.32949515853
CP001652;;75018;9;2;SNCF;TRAVAUX_OUVRAGE;Dépose puis reconstruction des ponts;Porte de la Chapelle;;2020-02-21;2024-03-31;RESTREINTE;Circulation modifiée selon les phases. Du 06 au 12/08/21, fermeture totale du carrefour.;1;2;;2020-06-24;2021-06-21;"{""type"": ""Polygon"", ""coordinates"": [[[2.3585578081465233, 48.89985131251321], [2.35973091104885, 48.89984147843579], [2.361085240371426, 48.89833962695765], [2.358593153364847, 48.89830482413131], [2.3585578081465233, 48.89985131251321]]]}";48.8989917467,2.35953040402
CP002187;;75020;10;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Pérennisation de la piste cyclable;avenue Gambetta;"depuis rue de la Chine vers Carrefour Saint Fargeau ( Hors carrefour)
Travaux en 2 phases";2022-01-10;2022-04-15;RESTREINTE;Maintien de la circulation BUS, riverains et services depuis St Fargeau vers rue de La Chine.;1;1;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/Gambetta Est A3.pdf;2021-11-04;2021-11-04;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[2.399944639171664, 48.86657952257625], [2.402090933734171, 48.869058246793216], [2.402436288478309, 48.86946813169309], [2.404276564378603, 48.87156643822498], [2.404276625800568, 48.871561067705954], [2.404285379864142, 48.87150740662237], [2.401553362615851, 48.86837350220553], [2.399995238846312, 48.866534347950484], [2.399944639171664, 48.86657952257625]]], [[[2.399929438723333, 48.86659309383259], [2.399944639171664, 48.86657952257625], [2.399937826633847, 48.86657165428082], [2.399929438723333, 48.86659309383259]]]]}";48.8689576494,2.40203811322
CP001999;;75006;12;3;DUMEZ;REHABILITATION_IMMEUBLE;cantonnement;rue de Sèvres;en vis à vis du n°33;2021-06-14;2022-09-30;RESTREINTE;modification des files de circulation au droit de l'emprise. Livraison et installation des bungalows les nuits du 22/06 au 24/06 de 22h à 6h avec fermeture de la voie dans le sens bd Raspail vers et jusqu'à la rue Velpeau.;2;2;;2021-05-21;2021-05-21;"{""type"": ""Polygon"", ""coordinates"": [[[2.32567501181108, 48.850976338280596], [2.325994893772153, 48.85111139587731], [2.32601981140593, 48.85108060191929], [2.326012297730867, 48.85104819709105], [2.325726152197782, 48.850925227267865], [2.32567501181108, 48.850976338280596]]]}";48.8510169692,2.32585466737
CP002191;;75008;9;2;Climespace;RACCORDEMENT_RESEAU;"Raccordement du 37 rue La Boétie
Phase 1";Rue de Miromenil;du 51 jusqu'à angle La Boétie;2022-01-03;2022-01-26;RESTREINTE;Maintien de 3.50m;1;1;;2021-11-04;2021-11-04;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[2.315778311015516, 48.87488180814612], [2.315814334653286, 48.87488558352703], [2.3158997291855012, 48.87395946250807], [2.315824480866068, 48.87392095975883], [2.315805867718627, 48.873964874294494], [2.315846942206688, 48.87399604277621], [2.315778311015516, 48.87488180814612]]], [[[2.31577974882267, 48.87477235950922], [2.315778311015516, 48.87488180814612], [2.315810516667956, 48.87443485387205], [2.315793842114676, 48.87466060264504], [2.31577974882267, 48.87477235950922]]]]}";48.874376561,2.31583682889
CP001797;293255;75016;13;2;RATP;TRAVAUX_OUVRAGE;Réhabilitation local technique.;Rues Pierre Guérin / Jean de la Fontaine;;2020-11-23;2021-11-30;RESTREINTE;Maintien d'une file de circulation minimum.;2;2;;2020-11-13;2020-11-13;"{""type"": ""Polygon"", ""coordinates"": [[[2.266386436195289, 48.84881488896209], [2.266194015369641, 48.848908892437336], [2.266263280099233, 48.84898308413215], [2.2664648750784, 48.84900573598978], [2.266520378397765, 48.8489049443749], [2.266505543491631, 48.84880610124515], [2.266386436195289, 48.84881488896209]]]}";48.8489089114,2.26638165709
CP002095;421295 & 433357;75016;13;3;ADT Wrapped Cie;EVENEMENTIEL;Empaquetage de l'Arc de Triomphe;Place Charles de Gaulle;face à l'av des Champs Elysées.;2021-07-19;2021-11-10;RESTREINTE;Neutralisation d'une file du 19/07 au 11/09 puis du 04/10 au 10/11.;2;2;;2021-07-13;2021-07-13;"{""type"": ""Polygon"", ""coordinates"": [[[2.295649975283097, 48.873812569339286], [2.295739113834771, 48.87381054417503], [2.295744708208801, 48.87368275980028], [2.295703214646329, 48.87360070515107], [2.295615658786279, 48.87348259997658], [2.295488816868148, 48.87340516832963], [2.295333632542411, 48.873419608467906], [2.295506876155879, 48.87350496229256], [2.295606269572903, 48.87360526096658], [2.295639928381624, 48.87369492025764], [2.295649975283097, 48.873812569339286]]]}";48.8735896855,2.29560594611
CP002090;313692;75019;10;2;Eau de Paris;ENTRETIEN_RESEAU;Renouvellement du réseau.;139 av Jean Jaurès;entre les rues de l'Ourcq et de Lorraine.;2021-01-25;2021-12-17;RESTREINTE;Lors des livraisons, la circulation générale est déviée dans la voie bus.;2;2;;2021-07-09;2021-07-09;"{""type"": ""Polygon"", ""coordinates"": [[[2.384023720092865, 48.88653323439013], [2.384067267438034, 48.88645414613689], [2.383839092735429, 48.886395865073816], [2.383789381139814, 48.886473108488545], [2.384023720092865, 48.88653323439013]]]}";48.8864642806,2.38392981651
CP000442;;75008;9;2;EOLE;TRAVAUX_OUVRAGE;Prolongement du RER E - Puits Pasquier;Bd Haussmann;entre rue de l'Arcade et rue d'Anjou;2017-07-01;2021-12-31;RESTREINTE;Neutralisation du couloir bus. Maintien des cheminements piétons et d'une file sur la rue Pasquier. Rue Pasquier fermée du 24/07/17 au 25/10/17;2;2;;2017-10-19;2021-09-27;"{""type"": ""Polygon"", ""coordinates"": [[[2.322881182230636, 48.87440292430693], [2.322884693425122, 48.874445889427435], [2.323842634728677, 48.874314415789115], [2.3238628385118822, 48.874325266224574], [2.3238573767859663, 48.87443259851544], [2.323889926984341, 48.874432782368594], [2.323899841312721, 48.87429595080958], [2.3239015435285912, 48.87426848380335], [2.323991265297691, 48.87425288605297], [2.324472389936637, 48.87417776342435], [2.32445942094506, 48.87413269627761], [2.3228778817544082, 48.8743438559033], [2.322881182230636, 48.87440292430693]]]}";48.8742994452,2.32357514907
CP002113;423774;75007;12;3;SAS 40 rue des Sts Pères;REHABILITATION_IMMEUBLE;;40 rue des Sts-Pères;juste avant le bd St Germain;2021-07-12;2022-12-31;RESTREINTE;Maintien d'une file de circulation.;2;2;;2021-07-30;2021-07-30;"{""type"": ""Polygon"", ""coordinates"": [[[2.3305087410876553, 48.85470384122318], [2.330597271667161, 48.8548958307216], [2.33065580837902, 48.85488368952832], [2.330574247997891, 48.85468380316092], [2.3305087410876553, 48.85470384122318]]]}";48.8547892934,2.33058309374
CP002021;;75015;13;2;GRDF;ENTRETIEN_RESEAU;Renouvellement du réseau Gaz;Rue de La croix Nivert;Au N°148;2021-08-25;2021-09-09;RESTREINTE;Traversée de chaussée en 3 phases, avec maintien d'une voie de 3,00m dans chaque sens pour chaque phase de travaux.;2;3;;2021-06-11;2021-10-05;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[2.29151113898382, 48.841087452407784], [2.291592971736566, 48.841128130772134], [2.291677327003443, 48.84106130887654], [2.291591375800169, 48.84101939472699], [2.29151113898382, 48.841087452407784]]], [[[2.291592971736566, 48.841128130772134], [2.291592050287186, 48.84112886010034], [2.29159349956246, 48.84112839291638], [2.291592971736566, 48.841128130772134]]]]}";48.8410738633,2.29159354196
CP002144;;75008;9;1;STV;REFECTION_CHAUSSEE;Reprise du pavage;Avenue des Champs Elysées;angle av Franklin Roosevelt;2021-10-04;2021-10-15;RESTREINTE;Maintien d'une file sur av Franklin Roosevelt et deux files sur av des Champs Elysées et maintien de la piste cyclable.;2;2;;2021-09-10;2021-09-10;"{""type"": ""Polygon"", ""coordinates"": [[[2.310180594033456, 48.8687194913563], [2.310207840946837, 48.86884100424727], [2.310390655962138, 48.86879089753533], [2.310374709776379, 48.86876938954885], [2.3102899989736763, 48.86876533283607], [2.310243444194642, 48.86874007894558], [2.310236450933727, 48.86872338276821], [2.310180594033456, 48.8687194913563]]]}";48.8687819377,2.31026219686
CP002098;;75020;10;2;RTE;CREATION_RESEAUX;Construction d'une liaison souterraine Gambetta-Vincennes;rue pelleport /rue de Bagnolet;;2021-07-12;2021-10-01;SENS_UNIQUE;de la rue de Bagnolet avec maintien du sens place de la pte de Bagnolet vers et jusqu'à la place ST Blaise.;1;2;;2021-07-15;2021-07-15;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[2.4060363947501973, 48.86242559059195], [2.40607491824716, 48.862440635307266], [2.4063729268071983, 48.86230410181378], [2.405940231844858, 48.86185413013298], [2.405928882734707, 48.86183741798032], [2.405921816343173, 48.8618245331021], [2.405924196457704, 48.86180550854241], [2.405852377543216, 48.86171520699557], [2.405793559894211, 48.861749655659544], [2.40604073947185, 48.86202214764426], [2.406307320211541, 48.86230139671019], [2.406228237523394, 48.86234193250894], [2.406216572278535, 48.86235282051881], [2.406189734287952, 48.86236601200286], [2.4060363947501973, 48.86242559059195]]], [[[2.406036138720983, 48.86242569004751], [2.4060363947501973, 48.86242559059195], [2.406035423118131, 48.862425210744185], [2.406036138720983, 48.86242569004751]]]]}";48.8620743961,2.406090224
CP002175;;75010;11;2;RATP HTA;ENTRETIEN_RESEAU;Renforcement du réseau.;149 - 171 rue La Fayette;;2021-11-08;2022-01-28;RESTREINTE;Maintien d 'une file de circulation sauf du 16 au 22/11 fermeture de la rue La Fayette entre Dunkerque et St Quentin et maintien d'une file sur Fbg St Denis.;1;2;;2021-10-26;2021-10-26;"{""type"": ""Polygon"", ""coordinates"": [[[2.359277674390594, 48.87998415930794], [2.359306917682843, 48.87992258299905], [2.3564467391793302, 48.87916720233565], [2.356400823142418, 48.87923358073996], [2.359277674390594, 48.87998415930794]]]}";48.8795691039,2.35782831212
CP002038;;75012;14;2;RATP HTA;ENTRETIEN_RESEAU;Renouvellement câbles pour les lignes 11 et 14;Quai de la rapée;du 98 au 100b Quai de la rapée;2021-07-19;2021-10-22;RESTREINTE;Circulation restreinte lors de l'arrêt ponctuel du camion.;1;2;;2021-06-22;2021-06-22;"{""type"": ""Polygon"", ""coordinates"": [[[2.367673579720248, 48.845964265774285], [2.367679031042599, 48.845960725033365], [2.367628558967701, 48.84596045825977], [2.367568813656427, 48.845981558864494], [2.36752520572705, 48.84600988295981], [2.367039341488475, 48.846384472739786], [2.367073387510651, 48.846401309871204], [2.367573860737921, 48.846011330022414], [2.3676243472989302, 48.84601040704433], [2.367673579720248, 48.845964265774285]]]}";48.8461681813,2.36735098667
CP001670;;75001;11;3;LOUVRE-SAINT HONORE;REHABILITATION_IMMEUBLE;;place du Palais Royal;n°2;2020-06-29;2024-06-30;RESTREINTE;Maintien d'une file de circulation .Lors des livraisons cette voie pourra être fermée.;2;2;;2020-07-07;2020-07-07;"{""type"": ""Polygon"", ""coordinates"": [[[2.337232888790253, 48.86225759717169], [2.337069926441364, 48.86231023365322], [2.337195298961625, 48.86251913700109], [2.337272622259834, 48.86253622203806], [2.33737576324122, 48.86250823886393], [2.337232888790253, 48.86225759717169]]]}";48.862402953,2.33722319986
CP002050;;75008;9;2;CPCU;INSPECTION_ENTRETIEN_RESEAU;;rue du faubourg Saint Honoré;n°240;2021-09-27;2021-11-26;SENS_UNIQUE;depuis l'Avenue Hoche vers et jusqu'à la rue de Balzac.;1;2;;2021-06-30;2021-11-04;"{""type"": ""Polygon"", ""coordinates"": [[[2.302155873933617, 48.87635622656663], [2.301922710964946, 48.87647289019288], [2.301957850847327, 48.87648880027636], [2.301970945203084, 48.8764807861692], [2.302117588483733, 48.87641358721266], [2.302129738413027, 48.87642222425673], [2.302157350324975, 48.876407632451176], [2.3021604086950083, 48.87639480051093], [2.302191634380856, 48.876379754012774], [2.302155873933617, 48.87635622656663]]]}";48.8764209134,2.30206598565
CP002172;;75014;12;1;DVD SAGP AMOT;TRAVAUX_PREPARATOIRES;Désamiantage de la chaussée, travaux en 2 Phases;Rue du Cdt R. Mouchotte;débouché place de Catalogne;2021-11-22;2021-12-10;SENS_UNIQUE;"Maintien du sens allant vers la gare, maintien pour le sens montant de l'accès riverains, chantiers, …
avec mise en impasse de ce sens. Déviation des bus de la RATP";2;2;;2021-10-21;2021-10-21;"{""type"": ""Polygon"", ""coordinates"": [[[2.318596012024747, 48.837523128942806], [2.318748516360024, 48.83767699568046], [2.3189611707489792, 48.83758426026919], [2.318767937058964, 48.8374355301763], [2.318596012024747, 48.837523128942806]]]}";48.8375565168,2.31877164503
CP002171;;75014;12;1;STV;REFECTION_CHAUSSEE;Réfection des pieds d'arbres et des bordures.;Rue d'Alésia et rue Vercingétorix;"entre le pont SNCF et la rue Vercingétorix,
entre les rues d'Alésia et de Ridder.";2021-10-11;2021-11-10;RESTREINTE;Neutralisation d'une file de circulation.;2;2;;2021-10-19;2021-10-19;"{""type"": ""Polygon"", ""coordinates"": [[[2.310827494073797, 48.83295701144596], [2.31090880470847, 48.83295747993731], [2.311479269304045, 48.83273972604689], [2.311452942603296, 48.83269826442711], [2.310551596402886, 48.83217074944594], [2.310466111013956, 48.83222974668632], [2.311256404812891, 48.832705461026485], [2.311341354337062, 48.83268691402249], [2.311393096841297, 48.83272647502298], [2.310827494073797, 48.83295701144596]]]}";48.8325303929,2.31099194378
CP002159;;75014;12;2;CPCU;RACCORDEMENT_RESEAU;;Avenue Denfert Rochereau;Au N°84;2021-09-09;2021-11-16;RESTREINTE;Neutralisation du couloir Bus. Maintien d'une voie dans chaque sens.;2;2;;2021-10-08;2021-10-08;"{""type"": ""Polygon"", ""coordinates"": [[[2.334485988491711, 48.83671452074349], [2.334552604928912, 48.83667205892481], [2.334437550978702, 48.836555616039824], [2.334399559295866, 48.83661329971878], [2.334483562930352, 48.83671530408882], [2.334485988491711, 48.83671452074349]]]}";48.836639943,2.33447085653
CP002101;;75004;11;2;EDP;CREATION_RESEAUX;remplacement de canalisation;rue de Rivoli;du n°74 au n°78;2021-09-06;2022-04-29;RESTREINTE;neutralisation de la coronapiste , ouverture à la circulation générale;1;2;;2021-07-15;2021-07-15;"{""type"": ""Polygon"", ""coordinates"": [[[2.351336441277434, 48.85760038495667], [2.351266362603576, 48.85758096850985], [2.350640255044945, 48.85776079633113], [2.350666884679847, 48.85779425456975], [2.351336441277434, 48.85760038495667]]]}";48.8576848373,2.35097574859
CP001594;;75017;9;3;OH4S;CONSTRUCTION_IMMEUBLE;;2 rue du Docteur Paul Brousse;entre la rue Ernest Roche et le bd Bessières;2020-02-03;2021-12-31;RESTREINTE;Maintien d'une file de circulation.;2;2;;2020-02-14;2021-04-01;"{""type"": ""Polygon"", ""coordinates"": [[[2.318516443074405, 48.89575067172272], [2.318535530804402, 48.895533059747166], [2.318409030027272, 48.895547806381536], [2.3183847933857358, 48.895745163268536], [2.318516443074405, 48.89575067172272]]]}";48.8956451139,2.31846241093
CP002051;;75008;9;2;CPCU;INSPECTION_ENTRETIEN_RESEAU;;rue du Faubourg Saint Honoré;n°236;2021-09-27;2021-11-18;SENS_UNIQUE;depuis l'Avenue Hoche vers et jusqu'à la rue Balzac.;1;2;;2021-06-30;2021-09-24;"{""type"": ""Polygon"", ""coordinates"": [[[2.302650138636732, 48.87613781256652], [2.302471586994161, 48.87621719938191], [2.302473982467359, 48.87625385784906], [2.302568336927191, 48.876212052284515], [2.302582605911025, 48.87622403278522], [2.302614553945576, 48.87620899038411], [2.302603884636099, 48.87619750660889], [2.302693182694606, 48.876156147238284], [2.302650138636732, 48.87613781256652]]]}";48.8761931345,2.30257442831
CP002119;434369;75016;13;2;Enedis;RACCORDEMENT_RESEAU;Raccordement base-vie;av du Président Kennedy;entre la rue du Ranelagh et la rue du Docteur Germain See.;2021-08-23;2021-10-15;RESTREINTE;Maintien d'une file de circulation par sens.;2;2;;2021-08-03;2021-09-20;"{""type"": ""Polygon"", ""coordinates"": [[[2.280758725089401, 48.85279353908791], [2.280881424880074, 48.85286076186714], [2.281042684876354, 48.85278845188868], [2.280903076038884, 48.8527014963906], [2.280758725089401, 48.85279353908791]]]}";48.8527843593,2.28089834187
CP001430;;75017;9;2;SNCF EOLE;TRAVAUX_OUVRAGE;Création d'un puits de service;avenue Carnot;du n° 8 au n°22;2019-07-29;2022-01-31;BARRAGE_TOTAL;Circulation des véhicules dans les contre-allées, inversion de sens de circulation de la rue Anatole de la Forge.;1;2;;2019-07-02;2019-07-02;"{""type"": ""Polygon"", ""coordinates"": [[[2.293696727494663, 48.875383159703915], [2.293522494989716, 48.875328449850954], [2.292641762207998, 48.87635930706683], [2.2928076771991632, 48.87642738896379], [2.293696727494663, 48.875383159703915]]]}";48.8758758381,2.29316631307
CP001671;;75001;11;3;LOUVRE-SAINT HONORE;REHABILITATION_IMMEUBLE;;rue Marengo;n°1;2020-06-29;2024-06-30;RESTREINTE;Modification de s files de circulation;2;2;;2020-07-07;2020-07-07;"{""type"": ""Polygon"", ""coordinates"": [[[2.339184393412101, 48.861658039029976], [2.339061389585607, 48.86168829374776], [2.339170525908401, 48.86189829527489], [2.339232057554023, 48.861880788366435], [2.339288331746808, 48.86185135492416], [2.339184393412101, 48.861658039029976]]]}";48.861776142,2.3391763915
CP002022;336249;75019;10;2;SIAAP;TRAVAUX_OUVRAGE;Réhabilitation;face 195 bd Serurier;après la sortie du souterrain;2021-06-28;2021-09-17;RESTREINTE;Neutralisation d'une file de circulation.;2;2;;2021-06-11;2021-06-11;"{""type"": ""Polygon"", ""coordinates"": [[[2.394883638936284, 48.89316180717541], [2.3948349616778852, 48.893159955010596], [2.394770352917749, 48.89323260630432], [2.394712712814072, 48.89343060636093], [2.394814856242769, 48.89343984328692], [2.394883638936284, 48.89316180717541]]]}";48.8933078403,2.39480025919
