Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;Date de création;Date dernière MAJ;geo_shape;geo_point_2d
CP001822;;75018;9;3;Elogie SIEMP;CONSTRUCTION_IMMEUBLE;;bd Barbès;;2021-03-01;2022-09-30;RESTREINTE;Neutralisation du couloir bus. Maintien d'une file de circulation de 4m intégrant les vélos.;2;2;;2021-01-05;2021-01-05;"{""type"": ""Polygon"", ""coordinates"": [[[2.349691877727816, 48.88424866127925], [2.3495511001175062, 48.8842538456193], [2.349555189589001, 48.8843597548167], [2.349690540636348, 48.884355730808366], [2.349691877727816, 48.88424866127925]]]}";48.884304145,2.34962227827
CP002148;;75011;10;1;Mission vélo;REAMENAGEMENT_VOIRIE;Pérennisation de la piste cyclable;Avenue de la République;entre bd Richard Lenoir et av Parmentier;2021-10-04;2021-12-23;SENS_UNIQUE;depuis bd R. Lenoir jusqu'à av Parmentier.;1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR RÃ©publique phase 2.pdf;2021-09-21;2021-09-21;"{""type"": ""Polygon"", ""coordinates"": [[[2.369698647786767, 48.866272040672584], [2.374216581222716, 48.86544005711743], [2.374465289900359, 48.865160315575594], [2.369865060542106, 48.86604150011102], [2.369698647786767, 48.866272040672584]]]}";48.8657171033,2.3721208881
CP002168;;75013;14;1;STV;REFECTION_CHAUSSEE;Désamiantage puis tapis.;Rue de la Glacière;entre le bd auguste Blanqui et la rue Léon-Maurice Nordmann.;2021-10-25;2021-12-03;BARRAGE_TOTAL;"du 25 au 28/10 entre Blanqui et Champ de l'Alouette, puis du 16 au 22/11 entre n°36 et 40 (la rue en impasse depuis Blanqui) et totale les nuits du 25 au 26/11 et 2 au 3/12.
Mise en sens unique depuis Blanqui jusqu'à LM Noerdmann du 28/10 au 15/11.";1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR STVSE GlaciÃ¨re.pdf;2021-10-12;2021-10-12;"{""type"": ""Polygon"", ""coordinates"": [[[2.344759602578444, 48.834069047658986], [2.344889085141436, 48.8341234637061], [2.344783094797585, 48.833494507529174], [2.344799768969272, 48.83346237442555], [2.344494232227301, 48.83188170399003], [2.344453424827511, 48.831892221527276], [2.3443323902800373, 48.83116650764743], [2.344193632227499, 48.83120334244134], [2.344250100956055, 48.83124124762693], [2.34466812768045, 48.83357980982184], [2.3447001934911462, 48.83361758009152], [2.344759602578444, 48.834069047658986]]]}";48.8327022192,2.34457718263
CP002133;456979;75009;11;1;SAGP;TRAVAUX_PREPARATOIRES;Préparation à la piétonisation de la rue de Mogador;Rue de Mogador;entre la rue de Provence et la place Diaghilev;2021-09-13;2021-10-11;RESTREINTE;travaux par phase avant la mise en voie piétonne;2;2;;2021-08-23;2021-08-23;"{""type"": ""Polygon"", ""coordinates"": [[[2.33124409745423, 48.874236156819144], [2.331382496735911, 48.87423692994041], [2.331289071598723, 48.87326971014278], [2.331117629024075, 48.873306345555356], [2.331109487554286, 48.87330630006131], [2.33124409745423, 48.874236156819144]]]}";48.8737402651,2.33125412832
CP002122;;75011;10;1;SAGP Mission Vélo;REAMENAGEMENT_VOIRIE;Elargissement de l'oreille de trottoir pour les travaux de la piste cyclable.;rue Chevreul;Angle rue du Faubourg St Antoine;2021-08-25;2021-10-31;RESTREINTE;Maintien de 4,00 m;2;2;;2021-08-05;2021-08-05;"{""type"": ""Polygon"", ""coordinates"": [[[2.391851096707912, 48.849163106957704], [2.391989611592675, 48.84918879678617], [2.391981401008133, 48.84927441848445], [2.392024581967557, 48.84928177698486], [2.392012173668138, 48.84910919633568], [2.391909698040688, 48.849084880449446], [2.391792757643452, 48.84921873041395], [2.391819631490935, 48.8492331442605], [2.391849252266538, 48.84916666711683], [2.391851096707912, 48.849163106957704]]]}";48.8491640072,2.39194430068
CP000786;;75004;11;3;Spna;REHABILITATION_IMMEUBLE;;bd Morland , rue agrippa d'Aubigné,rue Schomberg;N°17,du n°2au n°8,du n°1 au n°7;2018-07-16;2021-11-26;SENS_UNIQUE;de la rue agrippa d'Aubigné depuis le bd Morland vers et jusqu'au quai Henri IV. Maintien d'une file de circulation rue Schomberg.;2;2;;2018-07-10;2021-01-13;"{""type"": ""Polygon"", ""coordinates"": [[[2.36287189894677, 48.85040772786612], [2.363763007444649, 48.84970922780626], [2.363816696494305, 48.84964240966964], [2.362535970598622, 48.84894308596265], [2.361658309341698, 48.84953965316866], [2.361578934133885, 48.84971101383103], [2.36287189894677, 48.85040772786612]]]}";48.8496691142,2.36268149206
CP002188;;75008;9;2;Climespace;RACCORDEMENT_RESEAU;Raccordement Immeuble au 10 Percier;Avenue Percier;du N°8 au N°10;2022-01-03;2022-02-25;RESTREINTE;Neutralisation du couloir Bus;2;1;;2021-11-04;2021-11-04;"{""type"": ""Polygon"", ""coordinates"": [[[2.31453311958447, 48.8747545531718], [2.314529872376274, 48.8747271703576], [2.314470277492823, 48.87473277821769], [2.314472721777347, 48.87468401200958], [2.314525025057384, 48.87468431152888], [2.314526230647708, 48.87459270714982], [2.314479322757299, 48.87459362835579], [2.314515212989788, 48.87419645586228], [2.3144519331489493, 48.87420799084851], [2.314410540299762, 48.8747490927759], [2.31453311958447, 48.8747545531718]]]}";48.874502047,2.31446756794
CP002116;417442;75016;13;1;DCPA;TRAVAUX_OUVRAGE;Base-vie provisoire pour la DPE.;4-6 av d'Eylau;;2021-06-14;2022-03-20;SENS_UNIQUE;depuis la place de Mexico vers la place du Trocadéro.;1;2;;2021-07-30;2021-07-30;"{""type"": ""Polygon"", ""coordinates"": [[[2.286103217707599, 48.8636484064129], [2.285508757110308, 48.864040314696716], [2.285569997542675, 48.86408373765012], [2.28617478552933, 48.86368961801346], [2.286103217707599, 48.8636484064129]]]}";48.8638638203,2.28584190524
CP001961;360947;75008;9;2;CPCU;INSPECTION_ENTRETIEN_RESEAU;Travaux en 3 phases;Rue de Courcelles;Au N°77;2021-05-17;2021-12-17;RESTREINTE;Maintien d'une voie dans chaque sens pour les 3 phases de travaux.;1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/W05B - Information aux Riverains - Angle rue Courcelles et Daru 75008 Paris.pdf;2021-04-19;2021-11-04;"{""type"": ""Polygon"", ""coordinates"": [[[2.303424664936372, 48.87888464101015], [2.303423435793375, 48.87888621579337], [2.303413619373748, 48.87890123337464], [2.303369980834159, 48.878927153773105], [2.3034734820415013, 48.87901103827716], [2.303536411163154, 48.878980470775595], [2.303424664936372, 48.87888464101015]]]}";48.8789511536,2.30345231004
CP002127;458573;75010;11;2;Eau de Paris;ENTRETIEN_RESEAU;Base vie pour les travaux de renouvellement de conduite d'Eau potable en Egout;Rue Bichat;En vis-à-vis du 37 au 47;2021-08-24;2021-12-31;RESTREINTE;"Maintien de 3,00m dans chaque sens
Pour la pose des bungalows, mise à sens unique de la rue le 24-25 et 26/08 de 6h00 à 7h00 depuis av Richerand jusqu'à Alibert.";2;2;;2021-08-06;2021-08-06;"{""type"": ""Polygon"", ""coordinates"": [[[2.367518720672896, 48.87207593904943], [2.3675046256957613, 48.872048500438936], [2.366886921222751, 48.8724176269839], [2.366915516980463, 48.872439193239686], [2.367516902650943, 48.87207711926622], [2.367518720672896, 48.87207593904943]]]}";48.8722475269,2.3672026842
